Text: находятся, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: низко, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: относительно, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: остальных, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: частей, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: тела, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: крови, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: ходит, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: отхода, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: ме, Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: длesнее.), Number: 22, Confidence: 0.39, Bbox: [0.0, 36.58390808105469, 2256.556640625, 414.262451171875]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: предки, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: умчаться, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: обитали, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: южной, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: америке, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: так, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: обоз, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: означено, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: на, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: схеме, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: там, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: были, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: наиболее, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: выгодные, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: целковик, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: под, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: которые, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: подстраивались, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: ав, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: результате, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: эвтектических, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: предписа, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: появились, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: первые, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: сумчатые, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: млей, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: копитофощин., Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: -с, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: так, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: животные, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
Text: и, Number: 25, Confidence: 0.32, Bbox: [2.1370582580566406, 300.2337341308594, 2280.711669921875, 2590.0]
