Text: анурией, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: самок, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: Кроме, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: того, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: без, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: лечения, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: и, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: деисты, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: больной, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: фенилкетонурией, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: умирает, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: вс, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: это, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: приводит, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: к, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: снижению, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: доли, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: рецессивный, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: гомозигот, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: в, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: всей, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: человеческий, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: популяции, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: и, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: Древние, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: предки, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: современных, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: сумчатых, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: могли, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: обитать, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: на, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: территории, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: Западной, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: Африки, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: юго-восточный, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: части, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: Евразии, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: индикатив, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: и, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: соответственно, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
Text: на, Number: 22, Confidence: 0.38, Bbox: [56.969696044921875, 35.646968841552734, 2287.078369140625, 632.1226806640625]
