Text: мантии, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: клипс, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: использовать, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: только, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: no28, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: Дано, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: здоров, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: натал, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: к, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: решение, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: р, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: п, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: Аб, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: ничем, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: разверн, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: здоровой, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: кистью, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: петрорихорош, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: по, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: живое, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: в, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: только, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: при, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: при, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: кроссинговере, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: ехав, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: анфи, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: норм, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: вздр, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: гипертексту, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: даналит, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: а, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: гипертрихоз, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: а, Number: 22, Confidence: 0.34, Bbox: [40.131656646728516, 910.82666015625, 668.5324096679688, 1647.501708984375]
Text: норм, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: здор, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: норм, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: здор, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: гиперморфоз, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: Жаном, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: к, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: запомни, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: норм, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: хв, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: <unk>, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.42, Bbox: [701.8500366210938, 886.5921630859375, 2310.0, 2590.0]
