Text: После, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -де, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: часов, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: в, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: опыте, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: а, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: и, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: а, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: количество, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вирусных, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: частиц, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: слова, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: снижается, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: После, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: 1220, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: часов, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: В, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: опыте, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: я, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: комнате, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вирусных, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: частиц, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: растет, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: препарат, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: не, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: всегда, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: эффективен, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вделается, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: общий, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: научный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: метод, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: позволяет, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: установить, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: влияет, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: ли, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: препарат, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: на, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: целостность, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вирусных, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: частиц, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: частный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: научный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: метод, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: а, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: лекторша, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: микроскопия, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: особенности, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вирусов, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: быстрое, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: размножение, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: у, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: реовирусов, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: происходит, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: транскрипция, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: вирусы, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: покрыты, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: специальной, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: оболочной, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: каждом, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -де, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: На, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: рисунке, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: А, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: изображен, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: безусловный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: рефлекс, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: и, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: отсутствует, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: значит, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: например, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: безразличный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: раздражитель, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: казавшая, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: рефлекторам, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: центр, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: безусловного, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: слюноотделения, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: расположил, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: в, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: продолговат, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: мозге, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: норме, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: Безусловный, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: рефлекс, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: ответная, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: реакция, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: на, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: раздражитель, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: нистииктцепочка, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: безусловных, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: рефлексов, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: проявляется, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: у, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: эволюционно, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: развитых, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: животных, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: душ, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: собака, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: воспринимает, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: сигнал, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: реакторами, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: сетчатки, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: глаза, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: драпирует, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: на, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: свет, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: по, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: чувствительному, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: нейрону, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: сигнал, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: доходит, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: до, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: центральной, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: части, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: первой, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: системы, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: до, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: коры, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: больших, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: полушарий, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: где, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
Text: обкатывается, Number: 23, Confidence: 0.32, Bbox: [17.72014617919922, 1546.935302734375, 2272.490966796875, 2582.3681640625]
