Text: -с, Number: none, Confidence: none, Bbox: none
Text: грейферов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Рисунок, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Г, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: безразличный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: беда, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: спинном, Number: none, Confidence: none, Bbox: none
Text: море, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстинкт, Number: none, Confidence: none, Bbox: none
Text: цепочка, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: рефлексов, Number: none, Confidence: none, Bbox: none
Text: разрешитель, Number: none, Confidence: none, Bbox: none
Text: светнейтральный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: языкчувствительный, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: потоотделения, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: продолговатом, Number: none, Confidence: none, Bbox: none
Text: вещательный, Number: none, Confidence: none, Bbox: none
Text: неврон, Number: none, Confidence: none, Bbox: none
Text: слюнная, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рабочий, Number: none, Confidence: none, Bbox: none
Text: фенол, Number: none, Confidence: none, Bbox: none
Text: стокоотделения, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: продолживатом, Number: none, Confidence: none, Bbox: none
Text: море, Number: none, Confidence: none, Bbox: none
Text: Двенательный, Number: none, Confidence: none, Bbox: none
Text: непрон, Number: none, Confidence: none, Bbox: none
Text: Скюнная, Number: none, Confidence: none, Bbox: none
Text: жёлда, Number: none, Confidence: none, Bbox: none
Text: -, Number: none, Confidence: none, Bbox: none
Text: рабочий, Number: none, Confidence: none, Bbox: none
Text: феол,, Number: none, Confidence: none, Bbox: none
