Text: Составим, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: скрещивания, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: -с, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: сякому, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: вышла, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: замуж, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: Дочь, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: а, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: аномалией, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: развития, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: кисти, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: этих, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: заболеваний, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: е, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: муцину, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: recorun, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: гамом, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: шесть, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: гипертрофии, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: шесть, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: норм, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: пеппертрль, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: -с, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: -де, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: форм, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: кист, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: кромка, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
Text: пассом, Number: 28, Confidence: 0.88, Bbox: [11.07827091217041, 32.10231018066406, 2279.50439453125, 1949.322998046875]
