Text: босс, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: бланки, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: и, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: контрольные, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: измерительные, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: материалы, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: рассматриваются, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: в, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: комплекте, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: -де, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: Противовирусный, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: препарат, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: может, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: повлиять, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: на, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: количество, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: вирусных, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: частиц, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: в, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: образце, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: При, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: добавлении, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: противовирусного, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: препарата, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: не, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: удосто, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: удастся, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: установить, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: действительно, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: ли, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: лекарственный, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: препарат, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: против, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: ВИЧ, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: линяет, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: на, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: совместно, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: вирусных, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: пасеку, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
Text: вирусом, Number: 22, Confidence: 0.38, Bbox: [15.452917098999023, 35.13462829589844, 2280.61962890625, 1455.827880859375]
