Text: -с, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: отображен, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: безразличный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: отсутс, Number: none, Confidence: none, Bbox: none
Text: сетует, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: лампочка, Number: none, Confidence: none, Bbox: none
Text: выключена, Number: none, Confidence: none, Bbox: none
Text: шапочка, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: являться, Number: none, Confidence: none, Bbox: none
Text: раздражителем, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: ду, Number: none, Confidence: none, Bbox: none
Text: спорным, Number: none, Confidence: none, Bbox: none
Text: слюноотделение, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: собаки, Number: none, Confidence: none, Bbox: none
Text: вызвано, Number: none, Confidence: none, Bbox: none
Text: наличием, Number: none, Confidence: none, Bbox: none
Text: пищи, Number: none, Confidence: none, Bbox: none
Text: безуслов, Number: none, Confidence: none, Bbox: none
Text: нын, Number: none, Confidence: none, Bbox: none
Text: раздражителен, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: ред, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: головной, Number: none, Confidence: none, Bbox: none
Text: е, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: приобресть, Number: none, Confidence: none, Bbox: none
Text: бьется, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: рождения, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: джаз, Number: none, Confidence: none, Bbox: none
Text: пенным, Number: none, Confidence: none, Bbox: none
Text: опытом, Number: none, Confidence: none, Bbox: none
Text: подкрепляется, Number: none, Confidence: none, Bbox: none
Text: густ, Number: none, Confidence: none, Bbox: none
Text: усть, Number: none, Confidence: none, Bbox: none
Text: ным, Number: none, Confidence: none, Bbox: none
Text: раздражителем, Number: none, Confidence: none, Bbox: none
Text: суп, Number: none, Confidence: none, Bbox: none
Text: инстинктприсут, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рождения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ничем, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подкреплен, Number: none, Confidence: none, Bbox: none
Text: Условный, Number: none, Confidence: none, Bbox: none
Text: раздражительзритель-, Number: none, Confidence: none, Bbox: none
Text: ный, Number: none, Confidence: none, Bbox: none
Text: слузгав, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рожде-, Number: none, Confidence: none, Bbox: none
Text: ния, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ничем, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подкреплёк., Number: none, Confidence: none, Bbox: none
Text: Условный, Number: none, Confidence: none, Bbox: none
Text: раздражитель-, Number: none, Confidence: none, Bbox: none
Text: зритель-, Number: none, Confidence: none, Bbox: none
Text: ный, Number: none, Confidence: none, Bbox: none
Text: апапизатор-, Number: none, Confidence: none, Bbox: none
Text: головной, Number: none, Confidence: none, Bbox: none
Text: слозг-э, Number: none, Confidence: none, Bbox: none
