Text: л, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: -де, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: -с, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: Такой, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: отрицательный, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: контроль, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: не, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: является, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: адекватным, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: так, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: как, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: противовирусный, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: препарат, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: купленный, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: в, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: аптеке, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: направлен, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: вирус, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: на, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: уничтожение, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: не, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: только, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: настоящ, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
Text: вируса, Number: 22, Confidence: 0.84, Bbox: [4.262507438659668, 40.2261962890625, 2307.286865234375, 1132.304931640625]
