Text: как, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: то, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: капилляры, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: разрывались, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: от, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: перенапряг, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: ниях, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: из-за, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: пикколо, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: слоя, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: соединительной, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: ткани, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: -с, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: У, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: людей, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: приг, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: длительном, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: патологическом, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: повыше, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: нии, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
Text: возникать, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: окчортириального, Number: 22, Confidence: 0.39, Bbox: [964.5320434570312, 39.62727737426758, 2306.023193359375, 666.4126586914062]
Text: может, Number: 22, Confidence: 0.75, Bbox: [55.193260192871094, 43.013607025146484, 2310.0, 691.2125244140625]
