Text: низание, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: Данный, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: бланк, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: использовать, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: только, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: после, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: заполнения, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: бланка, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: ответов, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: -с, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: а, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: лист, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: а, Number: 28, Confidence: 0.79, Bbox: [0.0, 933.9019165039062, 2257.189453125, 2590.0]
Text: о, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: нормальное, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: развитие, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: кисти, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: приперт, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: трихом, Number: 27, Confidence: 0.37, Bbox: [26.875755310058594, 48.51729202270508, 2254.679443359375, 267.76239013671875]
Text: а, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
Text: Брак, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
Text: р, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
Text: ахала, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
Text: вития, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [24.04931640625, 45.08366775512695, 2264.099853515625, 905.5469360351562]
