Text: выделяет, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: слюну, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: потому, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: работает, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ежике, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: и, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: он, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: выше, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: no25, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: Потому, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: амулетов, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: мама, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: вираж, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: раза, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: больше, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: соот, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ставен, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ответств, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: стенное, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: денно, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: но, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: артерии, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: знатнее, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
