Text: ние, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: ние, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: вирусная, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: оболочка, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: -с, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: -с, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: На, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: рисунке, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: А, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: отображен, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: безусловный, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: рефлекс, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: слюноотделения, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: и, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: отсутствие, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: безразличного, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: раздражителя, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: светящийся, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: лампочка, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: а, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: под, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: цифрой, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: а, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: Безусловный, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: рефлекс, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: -с, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: долек, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: неосознанный, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: рефлекс, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: который, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: не, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: прививается, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: какимто, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: путем, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: это, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: естественна, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: реакция, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: на, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: вещи, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: которая, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: вызывает, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
Text: раздражимость, Number: 25, Confidence: 0.42, Bbox: [14.944093704223633, 680.6843872070312, 2288.227783203125, 2590.0]
