Text: давав, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: инертных, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: экономами, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: кисти, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: -де, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: -де, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: ав, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: (xab), Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: кр, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: -де, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: кое-, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: а, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: апол.кисти,, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: гипертрихоз, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: ник, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
Text: -с, Number: 28, Confidence: 0.72, Bbox: [11.089138984680176, 6.065372467041016, 2309.177734375, 2380.216552734375]
