Text: россии, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: говор, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: наруш, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: х, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: амбра, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнем, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гимета, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: ав, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: (гиперш.), Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: наруш, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисшие, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнем, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гиперизм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: ра, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: а, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: зал, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: ше, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: бо, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
