Text: ти, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: некот, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: типы, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: возможных, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: сыновей, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: аномия, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: развития, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: исти, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: отсутст, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: ств, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: нормаль, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: кисть, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: отсутст, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: гипертрихоза, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: гипертрихоза, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: да, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: это, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: сын, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: с, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: генотипом, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: хлад, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: который, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: получил, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: гамету, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: от, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: матери, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: и, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: кроссовер, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: ную, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: гамету, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: от, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
Text: отца, Number: 28, Confidence: 0.31, Bbox: [41.58223342895508, 11.047148704528809, 2310.0, 990.6548461914062]
