Text: липка, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: ответов, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: ДЕ, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: жидкости, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: в, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: результате, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: работы, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: парасимпатической, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: нервной, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: системы, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: поэтому, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: конечности, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: отекают, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: -с, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: бои, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: бомби, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: сильная, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
Text: нагрузка, Number: 22, Confidence: 0.54, Bbox: [55.12854766845703, 20.602964401245117, 2284.511962890625, 961.1660766601562]
