Text: х, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: х, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: кошением, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: развлекая, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: кисти, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: нет, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: гипертрихоза, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: девочка, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: харак, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: поймали, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: кисти, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: нет, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: гипертрихоза, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: девочка, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: задав, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: носителем, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: в, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: развитие, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: кисти, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: нет, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: гипертрихоза, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: мальчик, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: ха, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: ув, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: нет, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: анонимки, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: развитие, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: нет, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: жертрихоза,, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: мальчик, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: -с, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: да, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: возможнозахаув, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: хл, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: внут, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: аналитик, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: в, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: кисти, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: гипертрихоз, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: так, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: ген, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: гипертрихоза, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: передается, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: по, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: командирскому, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: тве, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: с, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: у, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: хромосомой, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: то, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: вы, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: мальчики, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: в, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: этом, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: травке, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: будет, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: с, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: гипертрихозом, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: так, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: он, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: есть, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: у, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: гопака, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: они, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: наследуют, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: а, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: хромосому, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: от, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: описа, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: у, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
