Text: Продолжение, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: no24, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: Рецептор, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: чувствительный, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: нейрон, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: передает, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: информацию, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: на, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: вставочный, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: нейрон, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: в, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: головном, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: мозге, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: передача, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: на, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: двигательный, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
Text: в, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.533971786499023, 2296.745361328125, 1033.3428955078125]
