Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: образовательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: видок, Number: none, Confidence: none, Bbox: none
Text: войны, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: противовоспалный, Number: none, Confidence: none, Bbox: none
Text: аппарат, Number: none, Confidence: none, Bbox: none
Text: весна, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: вернусь, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отражательный, Number: none, Confidence: none, Bbox: none
Text: контрользаразить, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: века, Number: none, Confidence: none, Bbox: none
Text: кругом, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: вносить, Number: none, Confidence: none, Bbox: none
Text: искусственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: вс, Number: none, Confidence: none, Bbox: none
Text: остальное, Number: none, Confidence: none, Bbox: none
Text: оставить, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: изменений, Number: none, Confidence: none, Bbox: none
Text: остолбенение, Number: none, Confidence: none, Bbox: none
Text: наружных, Number: none, Confidence: none, Bbox: none
Text: часов, Number: none, Confidence: none, Bbox: none
Text: варужных, Number: none, Confidence: none, Bbox: none
Text: часов), Number: none, Confidence: none, Bbox: none
