Text: фенилкетонурии, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: в, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: равновесной, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: популяции, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: человека, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: 1:10000, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: а, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: 0001;, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: Частота, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: встречаемость, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: генотипа, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: на, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: частота, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: мутантного, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: аллелям, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: а, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: 0,01;, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: частота, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: нормального, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: сигнала, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: р, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -де, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: а, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -де, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: частота, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: встречаемость, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: биотипа, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: Ла, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: в, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: равновесной, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: попу, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: папули, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: эмуляции, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: а, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: орд, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: а, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: 0198;, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: в, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: частота, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: встречаемость, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: генотипа, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: аба, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: в, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: равновесной, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: поп, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: попул, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: абляции, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: составляет, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: no22., Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: -с, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: Так, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: как, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: отрицательный, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: контроль, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: необходим, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
