Text: -с, Number: none, Confidence: none, Bbox: none
Text: Если, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: жирафа, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: обычного, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: капля, Number: none, Confidence: none, Bbox: none
Text: рах, Number: none, Confidence: none, Bbox: none
Text: оно, Number: none, Confidence: none, Bbox: none
Text: тоже, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: капиталов, Number: none, Confidence: none, Bbox: none
Text: имеет, Number: none, Confidence: none, Bbox: none
Text: большую, Number: none, Confidence: none, Bbox: none
Text: плотности, Number: none, Confidence: none, Bbox: none
Text: т, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: способствует, Number: none, Confidence: none, Bbox: none
Text: Защите, Number: none, Confidence: none, Bbox: none
Text: сосу, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: разрывов, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: прочих, Number: none, Confidence: none, Bbox: none
Text: повреждений, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: паралогическом, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: заполеваны, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: ВОЗНИКАТЬ, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: разносимая, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: сосудам, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: успевать, Number: none, Confidence: none, Bbox: none
Text: НАСЫЩАТЬ, Number: none, Confidence: none, Bbox: none
Text: ткани, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
