Text: мальчик, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: хоз, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: созвав, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: подпер, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: а, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: женщина, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: аномальна, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: развит, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: писать, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: ет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гипс, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: мужчина, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: норм, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: кист, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гипс, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гл, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: инер, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: -де, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: -с, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: Возможные, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: и, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: девочек, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: на, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: норм, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: писать, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: в, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: тенорки, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: Возможные, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: и, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: ша, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: ельников, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: момент, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
