Text: кровь, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: перемещается, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: из, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: области, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: повышенного, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: в, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: область, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: пони, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: генного, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: Но, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: поколь, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: ку, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: артериальное, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: давление, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: в, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: этом, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: случае, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: всегда, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: повышенное, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: то, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: кровь, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: с, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: нижних, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: конечностей, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: не, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: может, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: попасть, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: к, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: сердцу, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: она, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: застаивается, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: зазывая, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: нижних, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: конечностей, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: задание, Number: 22, Confidence: 0.35, Bbox: [30.214723587036133, 1.1188557147979736, 2305.54443359375, 442.9281311035156]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: В, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Южной, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Америке, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: обитали, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: более, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: древние, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: предки, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: сумчатый, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: На, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: филогенез, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: видно, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: этическом, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: древе, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: видо, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: что, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: все, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: сумчатые, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: виды, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: пошли, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: от, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: тек, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: кто, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: обитает, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Южной, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Теория, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: рейдов, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: континентов, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Изначально, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: был, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: один, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: большой, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: материк, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: затем, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: он, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: разделился, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: на, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: а, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: африка, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Южная, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Америка, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: австралиек, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: В, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Южную, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Америку, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: попали, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: часть, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: сумчатых, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: древних, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: предков, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: а, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: в, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: Австралию, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: другая, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: часть, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: из, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: исходной, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: В, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: новой, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: среде, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: обитания, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
Text: они, Number: 23, Confidence: 0.35, Bbox: [4.474681854248047, 441.11944580078125, 2294.134521484375, 1985.6094970703125]
