Text: сумчатый, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: волк, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: На, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: других, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: материках, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: емкостные, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: не, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: выдержав, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: конкуренции, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: либо, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: валерии, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: либо, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: остались, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Аомынь, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: количеством, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: например, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: опасным, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: на, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: территория, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Южной, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: и, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Северной, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: америки, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Из, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: всего, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: этого, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: можно, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: выявить, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: биогеоргатории, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: сдую, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: закономерность, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: наибольшее, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: голово, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: представителей, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: сумчатых, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: млекопитающих, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: обитают, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: лютням, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: полушарии, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Старом, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: Свете, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: и, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: немного, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: новосел, Number: 24, Confidence: 0.31, Bbox: [35.59293746948242, 38.22572708129883, 2304.596435546875, 930.6973876953125]
Text: no24., Number: 22, Confidence: 0.54, Bbox: [33.286930084228516, 37.72474670410156, 2306.137451171875, 940.130126953125]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [56.810874938964844, 929.8818969726562, 2310.0, 2590.0]
Text: На, Number: 24, Confidence: 0.43, Bbox: [56.810874938964844, 929.8818969726562, 2310.0, 2590.0]
