Text: клетке, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: к, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: есть, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: ребенку, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: помашем, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: вируса, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: Размножение, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: прикрепление, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: вируса, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
