Text: иметь, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: разный, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: состав, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: содержит, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: неисследованные, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: компоненты, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: поэтому, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: может, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: повлиять, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: на, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: количество, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: вирусных, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: частиц, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: показному, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: не, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: повлиять, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: вовсе, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: -с, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: таким, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: образом, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: не, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: удастся, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: установить, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: действительно, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: льном, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: ли, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: лекарственный, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: препарат, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: тестируемый, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: влияет, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: на, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: количество, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: вирусных, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: частиц, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: -с, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: при, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
Text: отрицательного, Number: 22, Confidence: 0.53, Bbox: [0.0, 20.176576614379883, 2246.23681640625, 1159.79296875]
