Text: поясе, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: приблизительно, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: ближе, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: к, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: экватору, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: Длинные, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: папы, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: способные, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: для, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: быстрого, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: передвижения, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: которыми, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: удобно, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: короткие, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: переводится, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: по, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: высоким, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: и, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: умеренным, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
