Text: пи, Number: none, Confidence: none, Bbox: none
Text: рассматрива, Number: none, Confidence: none, Bbox: none
Text: 22.1., Number: none, Confidence: none, Bbox: none
Text: Этот, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: ие, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: дек, Number: none, Confidence: none, Bbox: none
Text: ватным, Number: none, Confidence: none, Bbox: none
Text: атому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: суп, Number: none, Confidence: none, Bbox: none
Text: такого, Number: none, Confidence: none, Bbox: none
Text: колит, Number: none, Confidence: none, Bbox: none
Text: том, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: помощ, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: определить, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: сколько, Number: none, Confidence: none, Bbox: none
Text: впить, Number: none, Confidence: none, Bbox: none
Text: приперся, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: физика, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: ка, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: отрицательно, Number: none, Confidence: none, Bbox: none
Text: контроле, Number: none, Confidence: none, Bbox: none
Text: ввести, Number: none, Confidence: none, Bbox: none
Text: противо, Number: none, Confidence: none, Bbox: none
Text: вирусный, Number: none, Confidence: none, Bbox: none
Text: упоени, Number: none, Confidence: none, Bbox: none
Text: препростые, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: связь, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: установить, Number: none, Confidence: none, Bbox: none
Text: удается, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: кое-, Number: none, Confidence: none, Bbox: none
Text: пасет, Number: none, Confidence: none, Bbox: none
Text: эксперимент, Number: none, Confidence: none, Bbox: none
Text: недостоверен, Number: none, Confidence: none, Bbox: none
Text: результаты, Number: none, Confidence: none, Bbox: none
Text: ми, Number: none, Confidence: none, Bbox: none
Text: отрицатели, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: образец, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: вирусными, Number: none, Confidence: none, Bbox: none
Text: частицами, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: возит, Number: none, Confidence: none, Bbox: none
Text: физ, Number: none, Confidence: none, Bbox: none
Text: раствор, Number: none, Confidence: none, Bbox: none
Text: физиологический, Number: none, Confidence: none, Bbox: none
Text: раствор, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: остальн, Number: none, Confidence: none, Bbox: none
Text: условия, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: измене, Number: none, Confidence: none, Bbox: none
Text: оставить, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: внесения, Number: none, Confidence: none, Bbox: none
Text: репор, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: Колич, Number: none, Confidence: none, Bbox: none
Text: черство, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: ахать, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: неисмновсех, Number: none, Confidence: none, Bbox: none
Text: го, Number: none, Confidence: none, Bbox: none
Text: ко, Number: none, Confidence: none, Bbox: none
Text: понизилось, Number: none, Confidence: none, Bbox: none
Text: остано, Number: none, Confidence: none, Bbox: none
Text: опытах, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: вить, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: полощет, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: помога, Number: none, Confidence: none, Bbox: none
Text: насти, Number: none, Confidence: none, Bbox: none
Text: наблюдение, Number: none, Confidence: none, Bbox: none
Text: микроскопии, Number: none, Confidence: none, Bbox: none
Text: деяться, Number: none, Confidence: none, Bbox: none
Text: размнобыстро, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: день, Number: none, Confidence: none, Bbox: none
Text: текшее, Number: none, Confidence: none, Bbox: none
Text: способны, Number: none, Confidence: none, Bbox: none
Text: арии, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: ень, Number: none, Confidence: none, Bbox: none
Text: текше, Number: none, Confidence: none, Bbox: none
Text: способны, Number: none, Confidence: none, Bbox: none
Text: арии, Number: none, Confidence: none, Bbox: none
Text: z, Number: none, Confidence: none, Bbox: none
Text: 3., Number: none, Confidence: none, Bbox: none
Text: 1., Number: none, Confidence: none, Bbox: none
Text: 3., Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
