Text: только, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: после, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: заполнения, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: долинка, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: и, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: no25, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: По, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: сравнению, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: с, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: человеком, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: жираф, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: дурнее, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: п, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: крупнее, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: поэтому, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: и, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: сердце, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: у, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: него, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: дольке, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: году, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: чем, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: у, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: человека, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: Поэтому, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: и, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: сердечной, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: за, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: мышечной, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: ткани, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
Text: больше, Number: 22, Confidence: 0.55, Bbox: [21.37824058532715, 27.38939666748047, 2289.90380859375, 1216.8070068359375]
