Text: Под, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: буквой, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: В, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: присутствует, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: где, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: значимый, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: раздраж, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: го, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: выруба, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: июне, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: и, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: на, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: уни, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: на, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: уш, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: на, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: основе, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: условного, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: буквой, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: букв, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: присутствует, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: слюно, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: выделяется, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: уже, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: значимый, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: раздражитель, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: насто, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: реакторная, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: дуга, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
Text: рецепторы, Number: 22, Confidence: 0.41, Bbox: [35.91971969604492, 29.860586166381836, 2286.93603515625, 795.4895629882812]
