Text: решение, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: жисть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: писать, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: без, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: никто, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: ртах, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: -де, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: умяв, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: кр, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: -аномал.кисть,, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: а, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: аномален, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: ав, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: буль, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: наличность, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: шесть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: без, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: х, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: а, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: а, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: уа, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: азональная, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: шесть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: аномальная, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: жесть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: без, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: нормальная, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: кисть, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
Text: нормальная, Number: 28, Confidence: 0.94, Bbox: [13.711308479309082, 120.80430603027344, 2301.706298828125, 2590.0]
