Text: Дано, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: Жаном, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: ьгипертанкоз, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: условие, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: без, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: гипс, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: аномии, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: гипс, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: анек, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: а, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: а, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: решение, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: р, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: о, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: х, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: оставив, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: а, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: анек, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: к, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: без, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: глуб, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: кросс, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: о, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: зАВ, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: в, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: норм, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: У, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: матери, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: генотип, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: ехав, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: так, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: многочислен, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: необх, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: проявление, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: прика, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: В, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: отс, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: гиперон, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: а, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: она, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: гетерозис, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: по, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: прики, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: ан, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: кати, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: стак, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: если, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: бы, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: была, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: аба, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: то, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: прак, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: а, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: в, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: -с, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: не, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: проявился, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: болен, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: Я, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
Text: хобби, Number: 28, Confidence: 0.80, Bbox: [20.17633056640625, 0.0, 2310.0, 2285.00341796875]
