Text: 24.), Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: -с, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: отображен, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: безусловный, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: рефлекс, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: и, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: отсутствует, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: безразличный, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: раздражитель, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: на, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: рисунках, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: лунке, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: Б, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: безусловным, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: рефлексом, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: и, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: инстинктом, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: в, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: току, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: что, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: -с, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: Различие, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: юроду, Number: 22, Confidence: 0.72, Bbox: [27.528827667236328, 28.239946365356445, 2293.858642578125, 943.2109375]
Text: уловный, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: рефлекс, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: вырабатывается, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: а, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: инстетикт,, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: от, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: природы, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: животных, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: в, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: связи, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: происходящие, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: в, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: ж, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: Различие, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: между, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: безусловным, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: рефлексом, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: и, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: инстинктом, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: в, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: том, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: что, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: безусловный, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: предате, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: вырабатывается, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: в, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: связи, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: с, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: происходящими, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: в, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: жизни, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: а, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: инстинкты, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: животных, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: от, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: природы, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: то, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: есть, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: изначально, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: заложены, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: -де, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: рефлекторный, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: центр, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: безусловного, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
Text: слюноотделительного, Number: 22, Confidence: 0.41, Bbox: [49.055267333984375, 333.3420715332031, 2270.1181640625, 948.8621826171875]
