Text: потому, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: что, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: при, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: при, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: повышении, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: давления, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: кровь, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: с, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: кровь, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: хуже, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: транспортира, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: к, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: нижним, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: конечностям, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: no28., Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: тестируем, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: препарат, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: разрушает, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: вирусные, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: частицы, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: потому, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: что, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: таблице, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: количества, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: ли, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: не, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: видим, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: снижения, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: счастли, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Биохимический, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: метод, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Вирусы, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: быстро, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: распространяются, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: по, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: организму, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: и, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: деяться, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Не, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: имеют, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: ядра, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: некоторых, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: организмов, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: клетки, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Имеют, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: короткий, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: цикл, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Южная, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: Америка, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: no26., Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: В, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: так, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: как, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: наиболее, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: благоприятные, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: уже, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
Text: условия, Number: 22, Confidence: 0.31, Bbox: [36.90377426147461, 39.78541946411133, 2309.830078125, 407.84881591796875]
