Text: ней, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: вибрион, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: берет, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: цитоплазму, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: из, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: клетки, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: хозяина, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: Эти, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: особенности, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: жизненного, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: цикла, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: помогают, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: мутировать, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: вирусу, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: Антитела, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: мохом, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: располнеют, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
