Text: не, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: наблюдается, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: увеличения, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: их, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: численности, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: а, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: значит, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: препарат, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: не, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: дает, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: им, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: разливаться, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: дальше, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: no24, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: безусловный, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рефлекс, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: и, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: отсутствие, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: безразличного, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: раздражителя, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: на, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рисунке, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: а, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рефлекторный, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: центр, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: безусловного, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: оросительные, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: слюноотделительного, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рефлекса, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: стильбе, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: знамен, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: п, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: находится, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: Инстинкт, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -вращенностей, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: липоме, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: алуйста, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: потомства, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: самоохранения, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: в, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: то, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: время, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: как, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: безусловный, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рефлекса, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: врожденный, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: реакции, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: на, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: окружающей, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: среды, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: а, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: сушение, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: не, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: значит, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: при, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: яркой, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: свете, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: вирус, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -де, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: собака, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: видит, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: и, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: ощущает, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: запах, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: пир, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: пищи, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: работа, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: рецепторов, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: при, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: по, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: мозге, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: поступает, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
Text: сисях, Number: 22, Confidence: 0.38, Bbox: [36.432743072509766, 898.9838256835938, 2279.68408203125, 2420.23583984375]
