Text: полностью, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: разрушить, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: видовые, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: частицы, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: препарат, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: не, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: может, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: так, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: как, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: не, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: способен, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: проникнуть, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: в, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: анк, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: клетки, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: -с, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: Лекарственный, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: препарат, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: лишь, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: впитает, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: активность, Number: 24, Confidence: 0.58, Bbox: [52.434993743896484, 9.980225563049316, 2304.0380859375, 984.451171875]
Text: размножения, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: видности, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: -де, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: Капилляры, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: тонкие, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: сосцы, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: Повышенная, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: плотность, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: соединительной, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: ткани, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: позволяет, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: капиллярам, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: не, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: лопаться, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: от, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: высокого, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: давления, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: при, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: перекосе, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: крови, Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
Text: крови., Number: 25, Confidence: 0.35, Bbox: [44.805850982666016, 399.70855712890625, 2310.0, 984.6732177734375]
