Text: контроль, Number: none, Confidence: none, Bbox: none
Text: зараженные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подвергались, Number: none, Confidence: none, Bbox: none
Text: добавлению, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: купленный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: антике, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: поспособствовать, Number: none, Confidence: none, Bbox: none
Text: больному, Number: none, Confidence: none, Bbox: none
Text: распространению, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: если, Number: none, Confidence: none, Bbox: none
Text: виде, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: достаточно, Number: none, Confidence: none, Bbox: none
Text: долго, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: беспутье, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: нестерпимый, Number: none, Confidence: none, Bbox: none
Text: лый, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: разрушает, Number: none, Confidence: none, Bbox: none
Text: грузные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: нельзя, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: По, Number: none, Confidence: none, Bbox: none
Text: результатам, Number: none, Confidence: none, Bbox: none
Text: опыта, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: сказать, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: покарав, Number: none, Confidence: none, Bbox: none
Text: лишь, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: какой-то, Number: none, Confidence: none, Bbox: none
Text: время, Number: none, Confidence: none, Bbox: none
Text: приостанавливает, Number: none, Confidence: none, Bbox: none
Text: вирус, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: грузы, Number: none, Confidence: none, Bbox: none
Text: способные, Number: none, Confidence: none, Bbox: none
Text: подстроить, Number: none, Confidence: none, Bbox: none
Text: свою, Number: none, Confidence: none, Bbox: none
Text: анк, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: коре, Number: none, Confidence: none, Bbox: none
Text: больших, Number: none, Confidence: none, Bbox: none
Text: полушарий, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Вкусовые, Number: none, Confidence: none, Bbox: none
Text: рецепторы, Number: none, Confidence: none, Bbox: none
Text: продолжалась, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: железы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Зрительный, Number: none, Confidence: none, Bbox: none
Text: зрительные, Number: none, Confidence: none, Bbox: none
Text: рецепторы, Number: none, Confidence: none, Bbox: none
Text: глаз, Number: none, Confidence: none, Bbox: none
Text: полушарие, Number: none, Confidence: none, Bbox: none
Text: елевое, Number: none, Confidence: none, Bbox: none
Text: полушарие, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстинкты, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: проявляться, Number: none, Confidence: none, Bbox: none
Text: со, Number: none, Confidence: none, Bbox: none
Text: временем, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ные, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: десятерик, Number: none, Confidence: none, Bbox: none
Text: поливальное, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: внешние, Number: none, Confidence: none, Bbox: none
Text: воздействие, Number: none, Confidence: none, Bbox: none
Text: окружающей, Number: none, Confidence: none, Bbox: none
Text: среды, Number: none, Confidence: none, Bbox: none
Text: молитально, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: внешние, Number: none, Confidence: none, Bbox: none
Text: воздействие, Number: none, Confidence: none, Bbox: none
Text: окружающей, Number: none, Confidence: none, Bbox: none
Text: среды., Number: none, Confidence: none, Bbox: none
