Text: континенте, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: но, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: из-за, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: движения, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: литосферных, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: плит, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: и, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: рейдера, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: континентов, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: сумчатые, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: стали, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: изолированы, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: от, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: других, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: видов, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: Наиболее, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: древние, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: предки, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: суммарных, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: обитали, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: на, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: материке, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: ангел, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: тертому, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: что, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: до, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: современная, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: южная, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: Америка, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: и, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: Австралии, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: входили, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: в, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: состав, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
Text: ангел, Number: 24, Confidence: 0.42, Bbox: [28.17992401123047, 44.93033981323242, 2290.61083984375, 797.6226806640625]
