Text: б, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: безуслов, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: разговоривший, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: роднике, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: отличается, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: от, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: отката, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: том, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: что, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: для, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: него, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: на, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: нужные, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: условия, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: для, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: проходящиеся, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: -с, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: услуживает, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: этогоотадрительные, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: род, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: родного, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: Мы, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: башен, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: наблюда, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: глодать, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: на, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: Классно, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: экспоненты, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: реакторной, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: душ, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: порядка, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: скидку, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: одну, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: с, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: использовать, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: рисунка, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
Text: -с, Number: 23, Confidence: 0.37, Bbox: [66.64302062988281, 0.0, 2293.52587890625, 1275.348876953125]
