Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: бактерии, Number: none, Confidence: none, Bbox: none
Text: размножаются, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: деление, Number: none, Confidence: none, Bbox: none
Text: лень, Number: none, Confidence: none, Bbox: none
Text: надвое, Number: none, Confidence: none, Bbox: none
Text: чего, Number: none, Confidence: none, Bbox: none
Text: полчас, Number: none, Confidence: none, Bbox: none
Text: болеет, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: геометрически, Number: none, Confidence: none, Bbox: none
Text: прогрессии, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: появляются, Number: none, Confidence: none, Bbox: none
Text: особи, Number: none, Confidence: none, Bbox: none
Text: выработанным, Number: none, Confidence: none, Bbox: none
Text: иммунитетом, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: изображен, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: А, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: реф, Number: none, Confidence: none, Bbox: none
Text: мн, Number: none, Confidence: none, Bbox: none
Text: векторный, Number: none, Confidence: none, Bbox: none
Text: ниях, Number: none, Confidence: none, Bbox: none
Text: уловного, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: (люноотде-, Number: none, Confidence: none, Bbox: none
Text: мления, Number: none, Confidence: none, Bbox: none
Text: располож, Number: none, Confidence: none, Bbox: none
Text: пожалуется, Number: none, Confidence: none, Bbox: none
Text: среднем, Number: none, Confidence: none, Bbox: none
Text: заложение, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: безоблойный, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: природой, Number: none, Confidence: none, Bbox: none
Text: пискливы, Number: none, Confidence: none, Bbox: none
Text: назад, Number: none, Confidence: none, Bbox: none
Text: признаки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: институтчеловек, Number: none, Confidence: none, Bbox: none
Text: уловным, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: алексе, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: проявления, Number: none, Confidence: none, Bbox: none
Text: кот, Number: none, Confidence: none, Bbox: none
Text: которого, Number: none, Confidence: none, Bbox: none
Text: ранее, Number: none, Confidence: none, Bbox: none
Text: отвык, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: принятие, Number: none, Confidence: none, Bbox: none
Text: рецепторами, Number: none, Confidence: none, Bbox: none
Text: ми, Number: none, Confidence: none, Bbox: none
Text: глаза, Number: none, Confidence: none, Bbox: none
Text: спетого, Number: none, Confidence: none, Bbox: none
Text: шикала, Number: none, Confidence: none, Bbox: none
