Text: и, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: современные, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: сумчатые, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: обитают, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: на, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: производных, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: того, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: материка, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: -с, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: Теория, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: дрейфа, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: континентов, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: материков, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: -де, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: -с, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: Из-за, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: строения, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: и, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: длинные, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: шей, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: тирадою, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: кровь, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: прежде, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: чем, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: попала, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: в, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: мозге, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: золоты, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: простой, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: долгий, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: нут, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: пожалуйста, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: у, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: жирафов, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: наблюдается, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: повышение, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: высокое, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: артериальное, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: давление, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: чтобы, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: кровь, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: легче, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: поступало, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: в, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: мозг, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: ждет, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: Лизкой, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: -с, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: При, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: высоком, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: артериальном, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: давлении, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: кровь, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: из, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: осоедов, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: союзов, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: переходит, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: в, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: межблочное, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: пространство, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: большая, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: плотность, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: соединительной, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: ткани, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
Text: препятствует, Number: 22, Confidence: 0.48, Bbox: [24.54405975341797, 42.797977447509766, 2289.063232421875, 1462.2154541015625]
