Text: имеет, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: большую, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: плотность, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: чем, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: у, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: человека, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: следовательно, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: это, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: оказывает, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: большее, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: давление, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: на, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: ток, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: крови, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: в, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: у, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: людей, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: при, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: длительном, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: патологически, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: повышенном, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: артериальном, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: давлении, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
Text: может, Number: 24, Confidence: 0.49, Bbox: [39.02582931518555, 861.8842163085938, 1001.3426513671875, 1410.9259033203125]
