Text: среде, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: нужно, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: будет, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: проследить, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: продолжит, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: ли, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: вирус, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: существование, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: после, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: воздействия, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: лекарственным, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: предл, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: препаратом, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: Разработку, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: противо, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: ярусных, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: препаратов, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: усложняют, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: Такие, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: особенности, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: плененного, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: семьей, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: вирусов, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: как, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: способность, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: сугуба, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: к, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
Text: развитию, Number: 22, Confidence: 0.39, Bbox: [50.76946258544922, 11.843497276306152, 2281.298095703125, 518.486083984375]
